Idol Type,Size,Affix Type,Content Tag,Affix,Stripped Affix,Range,,,,,,
Kamasan Idol,1x2,Prefix,Essence,Your Maps have (60–80)% chance to contain an additional Imprisoned Monster,Your Maps have #% chance to contain an additional Imprisoned Monster,60–80,,,,,,
Kamasan Idol,1x2,Prefix,Expedition,Your Maps have +(30–45)% chance to contain an Expedition Encounter,Your Maps have +#% chance to contain an Expedition Encounter,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Expedition,Your Maps have (144–180)% increased chance to contain an Expedition Encounter,Your Maps have #% increased chance to contain an Expedition Encounter,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Harbinger,Your Maps have a (60–80)% chance to contain an additional Harbinger,Your Maps have a #% chance to contain an additional Harbinger,60–80,,,,,,
Kamasan Idol,1x2,Prefix,Harvest,Your Maps have +(30–45)% chance to contain The Sacred Grove,Your Maps have +#% chance to contain The Sacred Grove,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Harvest,Your Maps have (144–180)% increased chance to contain The Sacred Grove,Your Maps have #% increased chance to contain The Sacred Grove,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Heist,Your Maps have +(30–45)% chance to contain a Smuggler's Cache,Your Maps have +#% chance to contain a Smuggler's Cache,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Heist,Your Maps have (144–180)% increased chance to contain a Smuggler's Cache,Your Maps have #% increased chance to contain a Smuggler's Cache,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Heist,(20–25)% increased Blueprints found in your Maps,#% increased Blueprints found in your Maps,20–25,,,,,,
Kamasan Idol,1x2,Prefix,Betrayal,Your Maps have +(30–45)% chance to contain Jun,Your Maps have +#% chance to contain Jun,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Betrayal,Your Maps have (144–180)% increased chance to contain Jun,Your Maps have #% increased chance to contain Jun,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Legion,Your Maps have +(30–45)% chance to contain a Legion Encounter,Your Maps have +#% chance to contain a Legion Encounter,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Legion,Your Maps have (144–180)% increased chance to contain a Legion Encounter,Your Maps have #% increased chance to contain a Legion Encounter,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Ultimatum,Your Maps have (144–180)% increased chance to contain an Ultimatum Encounter,Your Maps have #% increased chance to contain an Ultimatum Encounter,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Ultimatum,Your Maps have +(30–45)% chance to contain an Ultimatum Encounter,Your Maps have +#% chance to contain an Ultimatum Encounter,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Ritual,Your Maps have +(30–45)% chance to contain Ritual Altars,Your Maps have +#% chance to contain Ritual Altars,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Ritual,Your Maps have (144–180)% increased chance to contain Ritual Altars,Your Maps have #% increased chance to contain Ritual Altars,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Strongboxes,Your Maps have +(60–80)% chance to contain a Strongbox,Your Maps have +#% chance to contain a Strongbox,60–80,,,,,,
Kamasan Idol,1x2,Prefix,Maps,+(1.2–1.8)% chance for a Synthesis Map to drop from Final Map Boss in each Map (Tier 14+),+#% chance for a Synthesis Map to drop from Final Map Boss in each Map (Tier 14+),1.2-1.8,,,,,,
Kamasan Idol,1x2,Prefix,Torment,Your Maps have a (60–80)% chance to be haunted by an additional Tormented Spirit,Your Maps have a #% chance to be haunted by an additional Tormented Spirit,60–80,,,,,,
Kamasan Idol,1x2,Prefix,Torment,Your Maps have +(12–18)% chance to be haunted by a Tormented Spirit,Your Maps have +#% chance to be haunted by a Tormented Spirit,12–18,,,,,,
Kamasan Idol,1x2,Prefix,Torment,Map Bosses have (6–8)% chance to be surrounded by Tormented Spirits,Map Bosses have #% chance to be surrounded by Tormented Spirits,6–8,,,,,,
Kamasan Idol,1x2,Prefix,Vaal,Your Maps have +(5–8)% chance to contain a Vaal Side Area,Your Maps have +#% chance to contain a Vaal Side Area,5–8,,,,,,
Kamasan Idol,1x2,Prefix,Maps,(5–8)% chance for one Monster in each of your Maps to drop an additional connected Map,#% chance for one Monster in each of your Maps to drop an additional connected Map,5–8,,,,,,
Kamasan Idol,1x2,Suffix,Abyss,Abysses in your Maps spawn (12–18)% increased Monsters,Abysses in your Maps spawn #% increased Monsters,12–18,,,,,,
Kamasan Idol,1x2,Suffix,Abyss,Abyss Monsters in your Maps grant (30–40)% increased Experience,Abyss Monsters in your Maps grant #% increased Experience,30–40,,,,,,
Kamasan Idol,1x2,Suffix,Abyss,Abyss Cracks in your Maps have (8–12)% chance to spawn 100% increased Monsters,Abyss Cracks in your Maps have #% chance to spawn 100% increased Monsters,8–12,,,,,,
Kamasan Idol,1x2,Suffix,Abyss,Abyss Pits in your Maps have (8–12)% chance to spawn 100% increased Monsters,Abyss Pits in your Maps have #% chance to spawn 100% increased Monsters,8–12,,,,,,
Kamasan Idol,1x2,Suffix,Abyss,Abyss Cracks in your Maps have (3–5)% chance to spawn all Monsters as Magic for each prior Pit in that Abyss,Abyss Cracks in your Maps have #% chance to spawn all Monsters as Magic for each prior Pit in that Abyss,3–5,,,,,,
Kamasan Idol,1x2,Suffix,Incursion,Incursions in your Maps have (15–25)% chance for all Monsters to be at least Magic,Incursions in your Maps have #% chance for all Monsters to be at least Magic,15–25,,,,,,
Kamasan Idol,1x2,Suffix,Rogue Exiles,(30–40)% increased Rarity of Items Dropped by Wild Rogue Exiles in your Maps,#% increased Rarity of Items Dropped by Wild Rogue Exiles in your Maps,30–40,,,,,,
Kamasan Idol,1x2,Suffix,Rogue Exiles,Rogue Exiles in your Maps have (15–20)% chance to drop an additional Currency Item,Rogue Exiles in your Maps have #% chance to drop an additional Currency Item,15–20,,,,,,
Kamasan Idol,1x2,Suffix,Bestiary,Your Maps that contain capturable Beasts have (12–18)% chance to contain an additional Red Beast,Your Maps that contain capturable Beasts have #% chance to contain an additional Red Beast,12–18,,,,,,
Kamasan Idol,1x2,Suffix,Bestiary,Einhar deals (600–800)% more Damage to Unique Monsters in your Maps,Einhar deals #% more Damage to Unique Monsters in your Maps,600–800,,,,,,
Kamasan Idol,1x2,Suffix,Bestiary,Einhar has (60–80)% increased Cooldown Recovery Rate in your Maps,Einhar has #% increased Cooldown Recovery Rate in your Maps,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Beyond,Beyond Portals in your Maps have (20–25)% increased Merging Radius,Beyond Portals in your Maps have #% increased Merging Radius,20–25,,,,,,
Kamasan Idol,1x2,Suffix,Beyond,(10–15)% increased Quantity of Tainted Currency dropped by Beyond Demons in your Maps,#% increased Quantity of Tainted Currency dropped by Beyond Demons in your Maps,10–15,,,,,,
Kamasan Idol,1x2,Suffix,Blight,Lanes of Blight Encounters in your Maps have (6–8)% chance for an additional Reward Chest,Lanes of Blight Encounters in your Maps have #% chance for an additional Reward Chest,6–8,,,,,,
Kamasan Idol,1x2,Suffix,Blight,(15–25)% chance for Blight Chests to contain an additional Reward,#% chance for Blight Chests to contain an additional Reward,15–25,,,,,,
Kamasan Idol,1x2,Suffix,Blight,Blight Bosses in your Maps have (14–18)% chance to add an additional Reward Chest when Defeated,Blight Bosses in your Maps have #% chance to add an additional Reward Chest when Defeated,14–18,,,,,,
Kamasan Idol,1x2,Suffix,Blight,Blighted Chests in your Maps have (25–35)% increased chance to contain an Oil,Blighted Chests in your Maps have #% increased chance to contain an Oil,25–35,,,,,,
Kamasan Idol,1x2,Suffix,Blight,Blight Monsters in your Maps spawn (40–60)% faster,Blight Monsters in your Maps spawn #% faster,40–60,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breach Bosses in your Maps have (12–16)% chance to drop double Breach Splinters,Breach Bosses in your Maps have #% chance to drop double Breach Splinters,12–16,,,,,,
Kamasan Idol,1x2,Suffix,Breach,(20–25)% increased Quantity of Breach Splinters found in Breach Hands in your Maps,#% increased Quantity of Breach Splinters found in Breach Hands in your Maps,20–25,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breaches in your Maps have (80–120)% increased chance to belong to Xoph,Breaches in your Maps have #% increased chance to belong to Xoph,80–120,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breaches in your Maps have (80–120)% increased chance to belong to Tul,Breaches in your Maps have #% increased chance to belong to Tul,80–120,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breaches in your Maps have (80–120)% increased chance to belong to Esh,Breaches in your Maps have #% increased chance to belong to Esh,80–120,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breaches in your Maps have (70–100)% increased chance to belong to Uul-Netol,Breaches in your Maps have #% increased chance to belong to Uul-Netol,70–100,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breaches in your Maps have (60–80)% increased chance to belong to Chayula,Breaches in your Maps have #% increased chance to belong to Chayula,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Breach,(20–25)% increased Quantity of Breach Splinters dropped by Breach Monsters in your Maps,#% increased Quantity of Breach Splinters dropped by Breach Monsters in your Maps,20–25,,,,,,
Kamasan Idol,1x2,Suffix,Breach,Breach Monsters in your Maps have (3–7)% increased chance to drop a Breach Unique Item,Breach Monsters in your Maps have #% increased chance to drop a Breach Unique Item,3–7,,,,,,
Kamasan Idol,1x2,Suffix,Exarch,Monsters Influenced by The Searing Exarch in your Maps have (0.5–0.7)% chance to drop an Item with a Searing Exarch Implicit Modifier,Monsters Influenced by The Searing Exarch in your Maps have #% chance to drop an Item with a Searing Exarch Implicit Modifier,0.5-0.7,,,,,,
Kamasan Idol,1x2,Suffix,Monster Pack,Monster Packs Influenced by Conquerors in your Maps have (8–12)% increased Pack Size,Monster Packs Influenced by Conquerors in your Maps have #% increased Pack Size,8–12,,,,,,
Kamasan Idol,1x2,Suffix,Delirium,Delirium Fog in your Maps dissipates (2–5)% slower,Delirium Fog in your Maps dissipates #% slower,2–5,,,,,,
Kamasan Idol,1x2,Suffix,Delirium,Delirium Bosses in your Maps have (30–40)% increased chance to drop Unique Cluster Jewels,Delirium Bosses in your Maps have #% increased chance to drop Unique Cluster Jewels,30–40,,,,,,
Kamasan Idol,1x2,Suffix,Delirium,Delirium Monsters in your Maps have (15–25)% increased chance to drop Cluster Jewels,Delirium Monsters in your Maps have #% increased chance to drop Cluster Jewels,15–25,,,,,,
Kamasan Idol,1x2,Suffix,Delirium,Cluster Jewels from Delirium Rewards have a (6–8)% chance to be Rare and Corrupted,Cluster Jewels from Delirium Rewards have a #% chance to be Rare and Corrupted,6–8,,,,,,
Kamasan Idol,1x2,Suffix,Delve,Voltaxic Sulphite Veins and Chests in your Maps contain (8–10)% increased Sulphite,Voltaxic Sulphite Veins and Chests in your Maps contain #% increased Sulphite,8–10,,,,,,
Kamasan Idol,1x2,Suffix,Delve,You Gain (8–12)% increased Movement Speed per stack of Sulphite Intoxication.,You Gain #% increased Movement Speed per stack of Sulphite Intoxication.,8–12,,,,,,
Kamasan Idol,1x2,Suffix,Shrine,(25–35)% increased Effect of Shrine Buffs on Players in your Maps,#% increased Effect of Shrine Buffs on Players in your Maps,25–35,,,,,,
Kamasan Idol,1x2,Suffix,Essence,Monsters Imprisoned by Essences have a (20–25)% chance to contain a Remnant of Corruption,Monsters Imprisoned by Essences have a #% chance to contain a Remnant of Corruption,20–25,,,,,,
Kamasan Idol,1x2,Suffix,Expedition,(10–15)% increased quantity of Artifacts dropped by Monsters,#% increased quantity of Artifacts dropped by Monsters,10–15,,,,,,
Kamasan Idol,1x2,Suffix,Expedition,(6–10)% increased number of Explosives in your Maps,#% increased number of Explosives in your Maps,6–10,,,,,,
Kamasan Idol,1x2,Suffix,Expedition,(15–20)% increased Quantity of Vendor Refresh Currencies dropped by Monsters in your Maps,#% increased Quantity of Vendor Refresh Currencies dropped by Monsters in your Maps,15–20,,,,,,
Kamasan Idol,1x2,Suffix,Expedition,Expedition Detonation Chains in your Maps travel (12–18)% slower,Expedition Detonation Chains in your Maps travel #% slower,12–18,,,,,,
Kamasan Idol,1x2,Suffix,Harbinger,Harbingers in your Maps have (40–60)% chance to drop an additional Stack of Currency Shards,Harbingers in your Maps have #% chance to drop an additional Stack of Currency Shards,40–60,,,,,,
Kamasan Idol,1x2,Suffix,Harvest,Harvest Crops in your Maps have (35–45)% increased chance to contain a Tier 4 Plant,Harvest Crops in your Maps have #% increased chance to contain a Tier 4 Plant,35–45,,,,,,
Kamasan Idol,1x2,Suffix,Harvest,Harvest Crops in your Maps have (25–35)% increased chance to contain Tier 3 Plants,Harvest Crops in your Maps have #% increased chance to contain Tier 3 Plants,25–35,,,,,,
Kamasan Idol,1x2,Suffix,Heist,Heist Contracts found in your Maps are (75–125)% more likely to require level 3 Jobs,Heist Contracts found in your Maps are #% more likely to require level 3 Jobs,75–125,,,,,,
Kamasan Idol,1x2,Suffix,Heist,Heist Contracts found in your Maps are (75–125)% more likely to require level 4 Jobs,Heist Contracts found in your Maps are #% more likely to require level 4 Jobs,75–125,,,,,,
Kamasan Idol,1x2,Suffix,Heist,Heist Contracts found in your Maps are (75–125)% more likely to require level 5 Jobs,Heist Contracts found in your Maps are #% more likely to require level 5 Jobs,75–125,,,,,,
Kamasan Idol,1x2,Suffix,Heist,Your Maps that contain Smuggler's Caches have a (25–35)% chance to contain an additional Smuggler's Cache,Your Maps that contain Smuggler's Caches have a #% chance to contain an additional Smuggler's Cache,25–35,,,,,,
Kamasan Idol,1x2,Suffix,Betrayal,Immortal Syndicate Members in your Maps are (120–160)% more likely to offer to Bargain for Items,Immortal Syndicate Members in your Maps are #% more likely to offer to Bargain for Items,120–160,,,,,,
Kamasan Idol,1x2,Suffix,Betrayal,(16–24)% increased Rarity of items from Defeated Syndicate Members in your Maps per Equipment Item they have,#% increased Rarity of items from Defeated Syndicate Members in your Maps per Equipment Item they have,16–24,,,,,,
Kamasan Idol,1x2,Suffix,Legion,(100–150)% increased Rarity of Items Dropped by Legion Sergeants in your Maps,#% increased Rarity of Items Dropped by Legion Sergeants in your Maps,100–150,,,,,,
Kamasan Idol,1x2,Suffix,Legion,Legion Encounters in your Maps have (40–60)% increased Duration,Legion Encounters in your Maps have #% increased Duration,40–60,,,,,,
Kamasan Idol,1x2,Suffix,Legion,Legion Monsters in your Maps take (30–40)% increased Damage while in Stasis,Legion Monsters in your Maps take #% increased Damage while in Stasis,30–40,,,,,,
Kamasan Idol,1x2,Suffix,Legion,Legion Monsters in your Maps have (10–15)% increased Pack Size,Legion Monsters in your Maps have #% increased Pack Size,10–15,,,,,,
Kamasan Idol,1x2,Suffix,Ultimatum,Ultimatum Altars in your Maps have (30–40)% increased Life,Ultimatum Altars in your Maps have #% increased Life,30–40,,,,,,
Kamasan Idol,1x2,Suffix,Ultimatum,Ultimatum Stone Circles in your Maps have (15–20)% increased radius,Ultimatum Stone Circles in your Maps have #% increased radius,15–20,,,,,,
Kamasan Idol,1x2,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (25–35)% increased chance to be Inscribed Ultimatums,Ultimatum Rewards in your Maps have #% increased chance to be Inscribed Ultimatums,25–35,,,,,,
Kamasan Idol,1x2,Suffix,Ultimatum,Ultimatum Encounters in your Maps only requiring you to Survive have (3–5)% reduced duration,Ultimatum Encounters in your Maps only requiring you to Survive have #% reduced duration,3–5,,,,,,
Kamasan Idol,1x2,Suffix,Ultimatum,Ultimatum Encounters in your Maps requiring you to Defeat waves of Enemies require killing (3–5)% reduced number of Enemies,Ultimatum Encounters in your Maps requiring you to Defeat waves of Enemies require killing #% reduced number of Enemies,3–5,,,,,,
Kamasan Idol,1x2,Suffix,Ritual,(50–75)% increased chance of Ritual Altars with Special Rewards,#% increased chance of Ritual Altars with Special Rewards,50–75,,,,,,
Kamasan Idol,1x2,Suffix,Ritual,Favours Rerolled at Ritual Altars in your Maps have (0.8–1.2)% chance to cost no Tribute,Favours Rerolled at Ritual Altars in your Maps have #% chance to cost no Tribute,0.8-1.2,,,,,,
Kamasan Idol,1x2,Suffix,Ritual,Ritual Altars in your Maps can have (15–25)% increased number of Spawned Monsters at once,Ritual Altars in your Maps can have #% increased number of Spawned Monsters at once,15–25,,,,,,
Kamasan Idol,1x2,Suffix,Ritual,Ritual Splinters offered at Ritual Altars in your Maps have (20–25)% increased Stack Size,Ritual Splinters offered at Ritual Altars in your Maps have #% increased Stack Size,20–25,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Cartography Scarabs,Scarabs dropped in your Maps are #% more likely to be Cartography Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs found in your Maps are (60–80)% more likely to be Ambush Scarabs,Scarabs found in your Maps are #% more likely to be Ambush Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Titanic Scarabs,Scarabs dropped in your Maps are #% more likely to be Titanic Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Harbinger Scarabs,Scarabs dropped in your Maps are #% more likely to be Harbinger Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Beyond Scarabs,Scarabs dropped in your Maps are #% more likely to be Beyond Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Essence Scarabs,Scarabs dropped in your Maps are #% more likely to be Essence Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Torment Scarabs,Scarabs dropped in your Maps are #% more likely to be Torment Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Domination Scarabs,Scarabs dropped in your Maps are #% more likely to be Domination Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Anarchy Scarabs,Scarabs dropped in your Maps are #% more likely to be Anarchy Scarabs,60–80,,,,,,
Kamasan Idol,1x2,Suffix,Strongboxes,Strongboxes in your Maps have (40–60)% chance to be guarded by an additional Pack of Monsters,Strongboxes in your Maps have #% chance to be guarded by an additional Pack of Monsters,40–60,,,,,,
Kamasan Idol,1x2,Suffix,Strongboxes,(15–20)% increased Quantity of Items contained in Strongboxes in your Maps,#% increased Quantity of Items contained in Strongboxes in your Maps,15–20,,,,,,
Kamasan Idol,1x2,Suffix,Torment,Tormented Spirits have a (1–2)% chance to be set free when Possessed Monsters are slain,Tormented Spirits have a #% chance to be set free when Possessed Monsters are slain,1–2,,,,,,
Noble Idol,2x1,Prefix,Abyss,Your Maps have +(30–45)% chance to contain an Abyss,Your Maps have +#% chance to contain an Abyss,30–45,,,,,,
Noble Idol,2x1,Prefix,Abyss,Your Maps have (144–180)% increased chance to contain an Abyss,Your Maps have #% increased chance to contain an Abyss,144–180,,,,,,
Noble Idol,2x1,Prefix,Incursion,Your Maps have +(30–45)% chance to contain Alva,Your Maps have +#% chance to contain Alva,30–45,,,,,,
Noble Idol,2x1,Prefix,Incursion,Your Maps have (144–180)% increased chance to contain Alva,Your Maps have #% increased chance to contain Alva,144–180,,,,,,
Noble Idol,2x1,Prefix,Rogue Exiles,Your Maps have a (30–45)% chance to contain an additional Rogue Exile,Your Maps have a #% chance to contain an additional Rogue Exile,30–45,,,,,,
Noble Idol,2x1,Prefix,Rogue Exiles,Your Maps have +(12–18)% chance to contain a Rogue Exile,Your Maps have +#% chance to contain a Rogue Exile,12–18,,,,,,
Noble Idol,2x1,Prefix,Bestiary,Your Maps have +(30–45)% chance to contain Einhar,Your Maps have +#% chance to contain Einhar,30–45,,,,,,
Noble Idol,2x1,Prefix,Bestiary,Your Maps have (144–180)% increased chance to contain Einhar,Your Maps have #% increased chance to contain Einhar,144–180,,,,,,
Noble Idol,2x1,Prefix,Beyond,(30–45)% chance for your Maps to attract Beyond Demons,#% chance for your Maps to attract Beyond Demons,30–45,,,,,,
Noble Idol,2x1,Prefix,Blight,Your Maps have +(30–45)% chance to contain a Blight Encounter,Your Maps have +#% chance to contain a Blight Encounter,30–45,,,,,,
Noble Idol,2x1,Prefix,Blight,Your Maps have (144–180)% increased chance to contain a Blight Encounter,Your Maps have #% increased chance to contain a Blight Encounter,144–180,,,,,,
Noble Idol,2x1,Prefix,Breach,Your Maps have +(30–45)% chance to contain Breaches,Your Maps have +#% chance to contain Breaches,30–45,,,,,,
Noble Idol,2x1,Prefix,Breach,Your Maps have (144–180)% increased chance to contain a Breach,Your Maps have #% increased chance to contain a Breach,144–180,,,,,,
Noble Idol,2x1,Prefix,Breach,Your Maps which contain Breaches have (5–10)% chance to contain two additional Breaches,Your Maps which contain Breaches have #% chance to contain two additional Breaches,5–10,,,,,,
Noble Idol,2x1,Prefix,Delirium,Your Maps have +(30–45)% chance to contain a Mirror of Delirium,Your Maps have +#% chance to contain a Mirror of Delirium,30–45,,,,,,
Noble Idol,2x1,Prefix,Delirium,Your Maps have (144–180)% increased chance to contain a Mirror of Delirium,Your Maps have #% increased chance to contain a Mirror of Delirium,144–180,,,,,,
Noble Idol,2x1,Prefix,Delve,Your Maps have +(30–45)% chance to contain Niko,Your Maps have +#% chance to contain Niko,30–45,,,,,,
Noble Idol,2x1,Prefix,Delve,Your Maps have (144–180)% increased chance to contain Niko,Your Maps have #% increased chance to contain Niko,144–180,,,,,,
Noble Idol,2x1,Prefix,Shrine,Your Maps have +(12–18)% chance to contain a Shrine,Your Maps have +#% chance to contain a Shrine,12–18,,,,,,
Noble Idol,2x1,Prefix,Shrine,Your Maps have a (60–80)% chance to contain an additional Shrine,Your Maps have a #% chance to contain an additional Shrine,60–80,,,,,,
Noble Idol,2x1,Prefix,Maps,Final Map Boss in each Map has +(1.8–2.4)% chance to drop a Shaper Guardian Map (Tier 14+),Final Map Boss in each Map has +#% chance to drop a Shaper Guardian Map (Tier 14+),1.8-2.4,,,,,,
Noble Idol,2x1,Prefix,Maps,Final Map Boss in each Map has +(1.8–2.4)% chance to drop an Elder Guardian Map (Tier 14+),Final Map Boss in each Map has +#% chance to drop an Elder Guardian Map (Tier 14+),1.8-2.4,,,,,,
Noble Idol,2x1,Prefix,Essence,Your Maps have +(12–18)% chance to contain an Imprisoned Monster,Your Maps have +#% chance to contain an Imprisoned Monster,12–18,,,,,,
Noble Idol,2x1,Prefix,Essence,Your Maps have (60–80)% chance to contain an additional Imprisoned Monster,Your Maps have #% chance to contain an additional Imprisoned Monster,60–80,,,,,,
Noble Idol,2x1,Prefix,Expedition,Your Maps have +(30–45)% chance to contain an Expedition Encounter,Your Maps have +#% chance to contain an Expedition Encounter,30–45,,,,,,
Noble Idol,2x1,Prefix,Expedition,Your Maps have (144–180)% increased chance to contain an Expedition Encounter,Your Maps have #% increased chance to contain an Expedition Encounter,144–180,,,,,,
Noble Idol,2x1,Prefix,Harbinger,Your Maps have a (60–80)% chance to contain an additional Harbinger,Your Maps have a #% chance to contain an additional Harbinger,60–80,,,,,,
Noble Idol,2x1,Prefix,Harvest,Your Maps have +(30–45)% chance to contain The Sacred Grove,Your Maps have +#% chance to contain The Sacred Grove,30–45,,,,,,
Noble Idol,2x1,Prefix,Harvest,Your Maps have (144–180)% increased chance to contain The Sacred Grove,Your Maps have #% increased chance to contain The Sacred Grove,144–180,,,,,,
Noble Idol,2x1,Prefix,Heist,Your Maps have +(30–45)% chance to contain a Smuggler's Cache,Your Maps have +#% chance to contain a Smuggler's Cache,30–45,,,,,,
Noble Idol,2x1,Prefix,Heist,Your Maps have (144–180)% increased chance to contain a Smuggler's Cache,Your Maps have #% increased chance to contain a Smuggler's Cache,144–180,,,,,,
Noble Idol,2x1,Prefix,Heist,(20–25)% increased Blueprints found in your Maps,#% increased Blueprints found in your Maps,20–25,,,,,,
Noble Idol,2x1,Prefix,Betrayal,Your Maps have +(30–45)% chance to contain Jun,Your Maps have +#% chance to contain Jun,30–45,,,,,,
Noble Idol,2x1,Prefix,Betrayal,Your Maps have (144–180)% increased chance to contain Jun,Your Maps have #% increased chance to contain Jun,144–180,,,,,,
Noble Idol,2x1,Prefix,Legion,Your Maps have +(30–45)% chance to contain a Legion Encounter,Your Maps have +#% chance to contain a Legion Encounter,30–45,,,,,,
Noble Idol,2x1,Prefix,Legion,Your Maps have (144–180)% increased chance to contain a Legion Encounter,Your Maps have #% increased chance to contain a Legion Encounter,144–180,,,,,,
Noble Idol,2x1,Prefix,Ultimatum,Your Maps have (144–180)% increased chance to contain an Ultimatum Encounter,Your Maps have #% increased chance to contain an Ultimatum Encounter,144–180,,,,,,
Noble Idol,2x1,Prefix,Ultimatum,Your Maps have +(30–45)% chance to contain an Ultimatum Encounter,Your Maps have +#% chance to contain an Ultimatum Encounter,30–45,,,,,,
Noble Idol,2x1,Prefix,Ritual,Your Maps have +(30–45)% chance to contain Ritual Altars,Your Maps have +#% chance to contain Ritual Altars,30–45,,,,,,
Noble Idol,2x1,Prefix,Ritual,Your Maps have (144–180)% increased chance to contain Ritual Altars,Your Maps have #% increased chance to contain Ritual Altars,144–180,,,,,,
Noble Idol,2x1,Prefix,Strongboxes,Your Maps have +(60–80)% chance to contain a Strongbox,Your Maps have +#% chance to contain a Strongbox,60–80,,,,,,
Noble Idol,2x1,Prefix,Maps,+(1.2–1.8)% chance for a Synthesis Map to drop from Final Map Boss in each Map (Tier 14+),+#% chance for a Synthesis Map to drop from Final Map Boss in each Map (Tier 14+),1.2-1.8,,,,,,
Noble Idol,2x1,Prefix,Torment,Your Maps have a (60–80)% chance to be haunted by an additional Tormented Spirit,Your Maps have a #% chance to be haunted by an additional Tormented Spirit,60–80,,,,,,
Noble Idol,2x1,Prefix,Torment,Your Maps have +(12–18)% chance to be haunted by a Tormented Spirit,Your Maps have +#% chance to be haunted by a Tormented Spirit,12–18,,,,,,
Noble Idol,2x1,Prefix,Torment,Map Bosses have (6–8)% chance to be surrounded by Tormented Spirits,Map Bosses have #% chance to be surrounded by Tormented Spirits,6–8,,,,,,
Noble Idol,2x1,Prefix,Vaal,Your Maps have +(5–8)% chance to contain a Vaal Side Area,Your Maps have +#% chance to contain a Vaal Side Area,5–8,,,,,,
Noble Idol,2x1,Prefix,Maps,(5–8)% chance for one Monster in each of your Maps to drop an additional connected Map,#% chance for one Monster in each of your Maps to drop an additional connected Map,5–8,,,,,,
Noble Idol,2x1,Suffix,Abyss,Abysses in your Maps spawn (12–18)% increased Monsters,Abysses in your Maps spawn #% increased Monsters,12–18,,,,,,
Noble Idol,2x1,Suffix,Abyss,Abyss Monsters in your Maps grant (30–40)% increased Experience,Abyss Monsters in your Maps grant #% increased Experience,30–40,,,,,,
Noble Idol,2x1,Suffix,Abyss,Abyss Cracks in your Maps have (8–12)% chance to spawn 100% increased Monsters,Abyss Cracks in your Maps have #% chance to spawn 100% increased Monsters,8–12,,,,,,
Noble Idol,2x1,Suffix,Abyss,Abyss Pits in your Maps have (8–12)% chance to spawn 100% increased Monsters,Abyss Pits in your Maps have #% chance to spawn 100% increased Monsters,8–12,,,,,,
Noble Idol,2x1,Suffix,Abyss,Abyss Cracks in your Maps have (3–5)% chance to spawn all Monsters as Magic for each prior Pit in that Abyss,Abyss Cracks in your Maps have #% chance to spawn all Monsters as Magic for each prior Pit in that Abyss,3–5,,,,,,
Noble Idol,2x1,Suffix,Incursion,Incursions in your Maps have (15–25)% chance for all Monsters to be at least Magic,Incursions in your Maps have #% chance for all Monsters to be at least Magic,15–25,,,,,,
Noble Idol,2x1,Suffix,Rogue Exiles,(30–40)% increased Rarity of Items Dropped by Wild Rogue Exiles in your Maps,#% increased Rarity of Items Dropped by Wild Rogue Exiles in your Maps,30–40,,,,,,
